名稱,縣市,緯度,經度,is_indoor,設施類型,最近測站,測站AQI,距離(km),風險等級
何源里活動中心,臺中市西屯區,24.170797,120.665542,True,室內,臺灣大道,38,1.6,Normal
臺中市北區賴興活動中心,臺中市北區,24.1718,120.6757,True,室內,臺灣大道,38,2.4,Normal
上安國小（活動中心、操場）,臺中市西屯區,24.172074,120.639105,False,室外,忠明,29,2.25,Normal
東光國民小學（活動中心、操場）,臺中市北屯區,24.17211,120.701827,False,室外,臺灣大道,38,4.81,Normal
基督長老教會,南投縣仁愛鄉,24.172426,121.196369,True,室內,埔里,32,32.41,Normal
力行活動中心,南投縣仁愛鄉,24.172426,121.196369,True,室內,埔里,32,32.41,Normal
大洋部落真耶穌教會,南投縣仁愛鄉,24.172426,121.196369,True,室內,埔里,32,32.41,Normal
文心國民小學（禮堂、操場）,臺中市北屯區,24.17296,120.682577,False,室外,臺灣大道,38,3.05,Normal
崇德國民中學（崇德館、操場）,臺中市北屯區,24.17296,120.682577,False,室外,臺灣大道,38,3.05,Normal
上石國小（活動中心、操場）,臺中市西屯區,24.173681,120.643286,False,室外,臺灣大道,38,2.13,Normal
中達里育德里邱厝里聯合活動中心,臺中市北區,24.173738,120.674392,True,室內,臺灣大道,38,2.44,Normal
平順里、平心里、平福里活動中心（3樓）,臺中市北屯區,24.1741,120.6877,True,室內,臺灣大道,38,3.57,Normal
至善國中（至善館、操場）,臺中市西屯區,24.174335,120.640194,False,室外,臺灣大道,38,2.4,Normal
青少年活動中心,臺中市北屯區,24.1744,120.6826,True,室內,臺灣大道,38,3.14,Normal
中台科技大學羽球館,臺中市北屯區,24.1745,120.7357,True,室內,臺灣大道,38,8.2,Normal
大福社區活動中心,臺中市西屯區,24.174643,120.666744,True,室內,臺灣大道,38,2.02,Normal
建功國民小學（地下室停車場）,臺中市北屯區,24.175695,120.715938,False,室外,臺灣大道,38,6.29,Normal
軍功國民小學（禮堂、操場）,臺中市北屯區,24.175695,120.715938,False,室外,臺灣大道,38,6.29,Normal
福安地區各里聯合活動中心,臺中市西屯區,24.176043,120.618029,True,室內,西屯,27,1.54,Normal
全興社區活動中心,彰化縣伸港鄉,24.176072,120.488453,True,室內,線西,32,5.31,Normal
鵬程里活動中心,臺中市西屯區,24.176403,120.648648,True,室內,臺灣大道,38,2.11,Normal
瑞峰國小防空避難室,臺中市大肚區,24.17668,120.574604,True,室內,西屯,27,4.58,Normal
瀋陽公園管理室（活動中心1、2樓）,臺中市北屯區,24.1769,120.6724,False,室外,臺灣大道,38,2.56,Normal
大鵬國小（綜合球場）,臺中市西屯區,24.17748,120.6653,False,室外,臺灣大道,38,2.24,Normal
僑孝國民小學（活動中心）,臺中市北屯區,24.177756,120.699648,True,室內,臺灣大道,38,4.83,Normal
軍功里活動中心,臺中市北屯區,24.177863,120.717838,True,室內,臺灣大道,38,6.55,Normal
四箴國中操場、體育館,臺中市龍井區,24.178195,120.576947,False,室外,西屯,27,4.43,Normal
北新國民中學（活動中心）,臺中市北屯區,24.178882,120.695925,True,室內,臺灣大道,38,4.56,Normal
竹坑里活動中心,臺中市龍井區,24.18031,120.546391,True,室內,沙鹿,35,5.53,Normal
龍峰國小操場,臺中市龍井區,24.180456,120.576147,False,室外,西屯,27,4.61,Normal
仁愛國民小學（禮堂三樓、操場）,臺中市北屯區,24.180481,120.671897,False,室外,臺灣大道,38,2.85,Normal
北屯國民小學（禮堂、操場）,臺中市北屯區,24.180481,120.671897,False,室外,臺灣大道,38,2.85,Normal
大德國民中學（操場）,臺中市北屯區,24.180564,120.669137,False,室外,臺灣大道,38,2.72,Normal
翠華村華崗活動中心,南投縣仁愛鄉,24.180665,121.199899,True,室內,埔里,32,33.31,Normal
大德公園管理室（1、2樓）,臺中市北屯區,24.1815,120.6719,False,室外,臺灣大道,38,2.95,Normal
